quoterevisionid,productDescription,isstockproduct,quoted,firstsold,senttoESVS,Day,Day_Diff
6244562,4 in. Polyester/Natural Bristle Blend Flat Oil Brush HD 1873 0400,1,2018-05-08,2018-05-09,2018-05-09,Multi Day,1
5055602,GAF Timberline Natural Shadow Asphalt Roof Shingles,1,2017-10-22,2017-10-28,2017-10-28,Multi Day,6
5055602,GAF Timbertex Charcoal Hip and Ridge Shingles (20 linear ft. per Bundle) 0840180 0845180,1,2017-10-22,2017-10-28,2017-10-28,Multi Day,6
5055602,"Grip-Rite 1-1/2"" 15 Degree EG Wire-Weld Coil Full-Round Head Roofing Nails",1,2017-10-22,2017-10-28,2017-10-28,Multi Day,6
5055602,Construction Metals 3 in-1 in Plastic ROOF JACK-HRD BASE CMIHB31,1,2017-10-22,2017-10-28,2017-10-28,Multi Day,6
5055602,1.25 in - 3 in Aluminum Base Rubber Pipe Boot 23190,1,2017-10-22,2017-10-28,2017-10-28,Multi Day,6
5178874,NuTone 50 CFM Ceiling Exhaust Bath Fan with Light 763N,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,"KILZ 2 1-gal. White Water-Based Latex Interior/Exterior Multi-Surface Primer, Sealer and Stain-Blocker 20941",1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,BEHR Premium Plus 1-gal. Pure Black Hi-Gloss Enamel Exterior/Interior Paint 862001,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,Square D QO 60 Amp Not Fusible AC Disconnect Switch Does Not Provide Over Current Protection QO200TRCP,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,Homax 14 oz. Pro Grade Popcorn Ceiling Texture 4575,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,"Liberty Hardware Harmon 1-3/8"" Satin Nickel Cabinet Knob",1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,Hampton Bay 1-Light Satin Nickel Sconce X124501,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,3/8 in. Compression x 1/2 in. FIP x 20 in. Braided Polymer Faucet Connector B1-20A F,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,BEHR PRO 5 gal. i300 White Eggshell Interior Paint PR33005,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,WeatherShield 1 in. x 4 in. x 8 ft. Ground Contact Pressure-Treated Board 253915 291280,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,Glacier Bay 30-1/2 in. W Bath Vanity in White with Vanity Top in White GB30P2COM-WH,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,Roundup 2 Gal. EZ-Pump Sprayer 190501,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,Glacier Bay 30 in. W x 36 in. L Beveled Edge Bath Mirror 81176,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,Commercial Electric Brushed Nickel LED Flushmount HUI8011LL/BN,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,The Hillman Group 4 in.Nail-On Aluminum Number 2 841620,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,"Hillman 4"" Black Aluminum Nail-On Number 3",1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,The Hillman Group 4 in.Nail-On Aluminum Number 9 841634,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,Little Big Shot Super Nozzle LBSR-1,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,Ideal WINGTWIST Assorted Red and Yellow Wire Connectors (150-Pack) 30-5152J,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,Siemens 60 Amp Double-Pole Type QP Circuit Breaker Q260,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5178874,ZEP 172 oz. All-in-1 Pressure Wash ZUPPWC160,1,2017-11-08,2017-11-09,2017-11-09,Multi Day,1
5953790,2 in. x 8 in. x 12 ft. #2 Prime Kiln Dried Southern Yellow Pine Lumber 560499,1,2018-03-29,2018-03-30,2018-03-30,Multi Day,1
5953790,1/2 in. x 4 ft. x 8 ft. CDX Ground Contact Pressure-Treated Plywood 131876,1,2018-03-29,2018-03-30,2018-03-30,Multi Day,1
5953790,WeatherShield 2 in. x 4 in. x 12 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253920 291224,1,2018-03-29,2018-03-30,2018-03-30,Multi Day,1
5953790,2 in. x 8 in. x 8 ft. #2 Prime Ground Contact Pressure-Treated Lumber 107523 288711,1,2018-03-29,2018-03-30,2018-03-30,Multi Day,1
5953790,WeatherShield 2 in. x 6 in. x 10 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253921 291225,1,2018-03-29,2018-03-30,2018-03-30,Multi Day,1
5953790,LUS28Z Simpson Strong-Tie 18 GA 2x8 Double Shear Face Mount Joist Hanger,1,2018-03-29,2018-03-30,2018-03-30,Multi Day,1
5953790,WeatherShield 2 in. x 6 in. x 8 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253921 291225,1,2018-03-29,2018-03-30,2018-03-30,Multi Day,1
5424556,"4"" x 100' Advanced Drainage Systems Black Perforated Corex Polyethylene Drain Pipe",1,2017-12-26,2017-12-28,2017-12-28,Multi Day,2
5424556,4 in. x 10 ft. Corrugated HDPE Drain Pipe Solid with Bell-End 4540010,1,2017-12-26,2017-12-28,2017-12-28,Multi Day,2
5424556,"4"" Advanced Drainage Systems Polyethylene Snap 90 Degree Elbow",1,2017-12-26,2017-12-28,2017-12-28,Multi Day,2
5424556,"4"" Advanced Drainage Systems Polyethylene Snap Tee",1,2017-12-26,2017-12-28,2017-12-28,Multi Day,2
5424556,"4"" Advanced Drainage Systems Polyethylene Snap External Coupler",1,2017-12-26,2017-12-28,2017-12-28,Multi Day,2
5205439,2x4-16' SPF Std/Btr S4S KD,1,2017-11-13,2017-11-14,2017-11-14,Multi Day,1
5205439,1 in. x 4 in. x 8 ft. Furring Strip Board 687642,1,2017-11-13,2017-11-14,2017-11-14,Multi Day,1
5205439,Plytanium Plywood Siding Panel T1-11 4 IN OC (Common: 3/8 (11/32) in. x 4 ft. x 8 ft.; Actual: 0.313 in. x 48 in. x 96 in.) 198557,1,2017-11-13,2017-11-14,2017-11-14,Multi Day,1
5526421,4x4-8' #2/Btr Pressure Treated,1,2018-01-18,2018-01-20,2018-01-20,Multi Day,2
5526421,1 in. x 5-1/2 in. x 6 ft. Pressure-Treated Pine Dog-Ear Fence Picket 102560,1,2018-01-18,2018-01-20,2018-01-20,Multi Day,2
5526421,WeatherShield 2 in. x 4 in. x 12 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253920 291224,1,2018-01-18,2018-01-20,2018-01-20,Multi Day,2
5526421,Sakrete 60 Lb High Strength Concrete Mix,1,2018-01-18,2018-01-20,2018-01-20,Multi Day,2
5526421,"Ply Gem Economy Triple 4"" 0.036"" Vinyl Non-Vented Soffit 12'",1,2018-01-18,2018-01-20,2018-01-20,Multi Day,2
5944853,"Grip-Rite 1-1/2"" 15 Degree EG Wire-Weld Coil Full-Round Head Roofing Nails",1,2018-03-28,2018-03-29,2018-03-29,Multi Day,1
6364539,GE Whole House Water Filtration System GXWH40L,1,2018-05-22,2018-05-22,2018-05-23,Multi Day,1
5970949,Southwest Block 8 in. x 8 in. x 16 in. Concrete Block 80100010090,1,2018-04-02,2018-04-05,2018-04-05,Multi Day,3
5970949,"Basalite 8""x8""x8"" Precision Concrete Half Block",1,2018-04-02,2018-04-05,2018-04-05,Multi Day,3
5970949,Everbilt 1-1/2 in. x 48 in. Plain Steel Angle with 1/8 in. Thick 800947,1,2018-04-02,2018-04-05,2018-04-05,Multi Day,3
6226372,WeatherShield 2 in. x 4 in. x 16 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253920 291224,1,2018-05-04,2018-05-08,2018-05-08,Multi Day,4
6226372,2 in. x 10 in. x 8 ft. #2 Prime Kiln Dried Southern Yellow Pine Lumber 852481,1,2018-05-04,2018-05-08,2018-05-08,Multi Day,4
6226372,"2x4-104-5/8"" SPF Stud S4S KD",1,2018-05-04,2018-05-08,2018-05-08,Multi Day,4
6226372,"7/16"" 4x8 OSB",1,2018-05-04,2018-05-08,2018-05-08,Multi Day,4
6226372,"PSCL 7/16-R50 Simpson Strong-Tie 20 GA 7/16"" Plywood Sheathing Clip",1,2018-05-04,2018-05-08,2018-05-08,Multi Day,4
6226372,"Grip-Rite #12x1"" Steel Ring Shank Plastic Cap Roofing Nail",1,2018-05-04,2018-05-08,2018-05-08,Multi Day,4
6226372,Everbilt 9 ft. x 150 ft. Housewrap AK709150,1,2018-05-04,2018-05-08,2018-05-08,Multi Day,4
6226372,3-1/2 in. x 10 ft. Galvanized Steel Starter Strip 3.5GSS,1,2018-05-04,2018-05-08,2018-05-08,Multi Day,4
6226372,"Ply Gem 5/8"" Vinyl 12'6"" J Channel",1,2018-05-04,2018-05-08,2018-05-08,Multi Day,4
6401243,"1/2"" 4x12 USG Sheetrock UltraLight Gypsum Panel",1,2018-05-28,2018-05-29,2018-05-29,Multi Day,1
6401243,Sheetrock 500 ft. Drywall Joint Tape 382199010 382199010,1,2018-05-28,2018-05-29,2018-05-29,Multi Day,1
6401243,Wal-Board Tools 4-3/4 in. Texture Brush 62-005,1,2018-05-28,2018-05-29,2018-05-29,Multi Day,1
6330863,5/8 (19/32) 4x8 SYP Rated Sheathing (CDX) Plywood,1,2018-05-18,2018-05-19,2018-05-19,Multi Day,1
6330863,4x4-10' #2/Btr Pressure Treated,1,2018-05-18,2018-05-19,2018-05-19,Multi Day,1
6330863,WeatherShield 2 in. x 6 in. x 10 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253921 291225,1,2018-05-18,2018-05-19,2018-05-19,Multi Day,1
6330863,WeatherShield 2 in. x 6 in. x 8 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253921 291225,1,2018-05-18,2018-05-19,2018-05-19,Multi Day,1
6330863,WeatherShield 2 in. x 4 in. x 10 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253920 291224,1,2018-05-18,2018-05-19,2018-05-19,Multi Day,1
6330863,2x2-8' #1 WeatherShield Pressure Treated,1,2018-05-18,2018-05-19,2018-05-19,Multi Day,1
6330863,Sakrete 60 Lb High Strength Concrete Mix,1,2018-05-18,2018-05-19,2018-05-19,Multi Day,1
6330863,Gardner 3.6 Qt. Fiber Coat Liquid Asphalt Coating 0101-GA,1,2018-05-18,2018-05-19,2018-05-19,Multi Day,1
5257546,Arrow Newport 10 ft. x 8 ft. Steel Shed NP10867,1,2017-11-21,2017-11-22,2017-11-22,Multi Day,1
5257546,GAF 0.5 in. x 4 ft. x 8 ft. EnergyGuard PolyIsocyanurate Insulation Sheathing 1S01,1,2017-11-21,2017-11-22,2017-11-22,Multi Day,1
5914477,Delta Classic 400 32 in. x 60 in. x 74 in. 3-Piece Direct-to-Stud Alcove Surround in White 40104,1,2018-03-23,2018-03-23,2018-03-24,Multi Day,1
